"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem","CID_to_CID","IK_to_IK","IKFB_to_IKFB","ReactionSMILES","DescReactionSMILES","predecessorEM","successorEM","MassDiff","XlogPDiff"
"MCPA",7204,"Environmental","2-methyl-4-chlorophenol","14855","10.1021/acs.est.1c00466","Menger, F. et al (2021); Identification of pesticide transformation products in surface water using suspect screening combined with national monitoring data, Environmental Science and Technology. DOI: 10.1021/acs.est.1c00466","10.5281/zenodo.4687924","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","","10.5281/zenodo.4687924","soil","7204>>14855","WHKUVVPPKQRRBV-UHFFFAOYSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WHKUVVPPKQRRBV>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)OCC(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)OCC(=O)O>[Environmental]>CC1=C(C=CC(=C1)Cl)O CID: 7204 to CID: 14855","200.0240218","142.0185425","-58.0054793","0.2"
"MCPA",7204,"Environmental","cloxyfonac","22883","10.1021/acs.est.1c00466","Menger, F. et al (2021); Identification of pesticide transformation products in surface water using suspect screening combined with national monitoring data, Environmental Science and Technology. DOI: 10.1021/acs.est.1c00466","10.5281/zenodo.4687924","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","","10.5281/zenodo.4687924","soil","7204>>22883","WHKUVVPPKQRRBV-UHFFFAOYSA-N>>ZJRUTGDCLVIVRD-UHFFFAOYSA-N","WHKUVVPPKQRRBV>>ZJRUTGDCLVIVRD","CC1=C(C=CC(=C1)Cl)OCC(=O)O>>C1=CC(=C(C=C1Cl)CO)OCC(=O)O","CC1=C(C=CC(=C1)Cl)OCC(=O)O>[Environmental]>C1=CC(=C(C=C1Cl)CO)OCC(=O)O CID: 7204 to CID: 22883","200.0240218","216.0189365","15.9949147","-1.4"
"MCPA",7204,"Environmental Transformation","2-methyl-4-chlorophenol","14855","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_876","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","7204>>14855","WHKUVVPPKQRRBV-UHFFFAOYSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WHKUVVPPKQRRBV>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)OCC(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)OCC(=O)O>[Environmental Transformation]>CC1=C(C=CC(=C1)Cl)O CID: 7204 to CID: 14855","200.0240218","142.0185425","-58.0054793","0.2"
"MCPA",7204,"Environmental Transformation","cloxyfonac","22883","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_877","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","7204>>22883","WHKUVVPPKQRRBV-UHFFFAOYSA-N>>ZJRUTGDCLVIVRD-UHFFFAOYSA-N","WHKUVVPPKQRRBV>>ZJRUTGDCLVIVRD","CC1=C(C=CC(=C1)Cl)OCC(=O)O>>C1=CC(=C(C=C1Cl)CO)OCC(=O)O","CC1=C(C=CC(=C1)Cl)OCC(=O)O>[Environmental Transformation]>C1=CC(=C(C=C1Cl)CO)OCC(=O)O CID: 7204 to CID: 22883","200.0240218","216.0189365","15.9949147","-1.4"
"MCPA-thioethyl",32876,"Environmental","MCPA","7204","10.1021/acs.est.1c00466","Menger, F. et al (2021); Identification of pesticide transformation products in surface water using suspect screening combined with national monitoring data, Environmental Science and Technology. DOI: 10.1021/acs.est.1c00466","10.5281/zenodo.4687924","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","","10.5281/zenodo.4687924","soil","32876>>7204","AZFKQCNGMSSWDS-UHFFFAOYSA-N>>WHKUVVPPKQRRBV-UHFFFAOYSA-N","AZFKQCNGMSSWDS>>WHKUVVPPKQRRBV","CCSC(=O)COC1=C(C=C(C=C1)Cl)C>>CC1=C(C=CC(=C1)Cl)OCC(=O)O","CCSC(=O)COC1=C(C=C(C=C1)Cl)C>[Environmental]>CC1=C(C=CC(=C1)Cl)OCC(=O)O CID: 32876 to CID: 7204","244.0324785","200.0240218","-44.0084567","-1.1"
"MCPB",7207,"Environmental Transformation","cloxyfonac","22883","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_877","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","7207>>22883","LLWADFLAOKUBDR-UHFFFAOYSA-N>>ZJRUTGDCLVIVRD-UHFFFAOYSA-N","LLWADFLAOKUBDR>>ZJRUTGDCLVIVRD","CC1=C(C=CC(=C1)Cl)OCCCC(=O)O>>C1=CC(=C(C=C1Cl)CO)OCC(=O)O","CC1=C(C=CC(=C1)Cl)OCCCC(=O)O>[Environmental Transformation]>C1=CC(=C(C=C1Cl)CO)OCC(=O)O CID: 7207 to CID: 22883","228.055322","216.0189365","-12.0363855","-2.4"
"MCPB",7207,"Environmental Transformation","MCPA","7204","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_427","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","7207>>7204","LLWADFLAOKUBDR-UHFFFAOYSA-N>>WHKUVVPPKQRRBV-UHFFFAOYSA-N","LLWADFLAOKUBDR>>WHKUVVPPKQRRBV","CC1=C(C=CC(=C1)Cl)OCCCC(=O)O>>CC1=C(C=CC(=C1)Cl)OCC(=O)O","CC1=C(C=CC(=C1)Cl)OCCCC(=O)O>[Environmental Transformation]>CC1=C(C=CC(=C1)Cl)OCC(=O)O CID: 7207 to CID: 7204","228.055322","200.0240218","-28.0313002","-1"
"MEBENDAZOLE",4030,"","(2-amino-1H-benzo[d]imidazol-5-yl)(phenyl)methanone","40320","10.1124/dmd.113.051177","23444387","ChEMBL IDs (pred,succ,enzyme): CHEMBL685|CHEMBL2030560|","metid:2478; protacxns:; geneids:","ChEMBL","",NA,NA,"4030>>40320","OPXLLQIJSORQAM-UHFFFAOYSA-N>>GPMHHSJZGVOEFS-UHFFFAOYSA-N","OPXLLQIJSORQAM>>GPMHHSJZGVOEFS","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3>>C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(N3)N","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3>[]>C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(N3)N CID: 4030 to CID: 40320","295.09569129","237.090211983","-58.005479307","-0.2"
"MEBENDAZOLE",4030,"","methyl 5-(hydroxy(phenyl)methyl)-1H-benzo[d]imidazol-2-ylcarbamate","43242","10.1124/dmd.113.051177","23444387","ChEMBL IDs (pred,succ,enzyme): CHEMBL685|CHEMBL2059159|","metid:2477; protacxns:; geneids:","ChEMBL","",NA,NA,"4030>>43242","OPXLLQIJSORQAM-UHFFFAOYSA-N>>IIQKUGXEGMZCLE-UHFFFAOYSA-N","OPXLLQIJSORQAM>>IIQKUGXEGMZCLE","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3>>COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(C3=CC=CC=C3)O","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3>[]>COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(C3=CC=CC=C3)O CID: 4030 to CID: 43242","295.09569129","297.11134135","2.01565005999998","-0.5"
"Mebeverine",4031,"Phase I","Mebeverine acid","20556914","10.1021/acs.est.4c00968","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Compendium, https://compendium.ch/","S113 | SWISSPHARMA24 | 2024 Swiss Pharmaceutical List with Metabolites","","10.5281/zenodo.10501043","","4031>>20556914","VYVKHNNGDFVQGA-UHFFFAOYSA-N>>UZUWRVLVHOYTNN-UHFFFAOYSA-N","VYVKHNNGDFVQGA>>UZUWRVLVHOYTNN","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>>CCN(CCCC(=O)O)C(C)CC1=CC=C(C=C1)OC","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>[Phase I]>CCN(CCCC(=O)O)C(C)CC1=CC=C(C=C1)OC CID: 4031 to CID: 20556914","429.25152322","279.18344366","-150.06807956","-4.6"
"Mebeverine",4031,"Phase I","Mebeverine alcohol","26649","10.1021/acs.est.4c00968","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Compendium, https://compendium.ch/","S113 | SWISSPHARMA24 | 2024 Swiss Pharmaceutical List with Metabolites","","10.5281/zenodo.10501043","","4031>>26649","VYVKHNNGDFVQGA-UHFFFAOYSA-N>>ZGZAPRVKIAFOPL-UHFFFAOYSA-N","VYVKHNNGDFVQGA>>ZGZAPRVKIAFOPL","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>>CCN(CCCCO)C(C)CC1=CC=C(C=C1)OC","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>[Phase I]>CCN(CCCCO)C(C)CC1=CC=C(C=C1)OC CID: 4031 to CID: 26649","429.25152322","265.204179104","-164.047344116","-2.2"
"Mebeverine",4031,"Phase I","O-Desmethylmebeverine acid","45038887","10.1021/acs.est.4c00968","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Compendium, https://compendium.ch/","S113 | SWISSPHARMA24 | 2024 Swiss Pharmaceutical List with Metabolites","","10.5281/zenodo.10501043","","4031>>45038887","VYVKHNNGDFVQGA-UHFFFAOYSA-N>>DJTCBAFIXOMULT-UHFFFAOYSA-N","VYVKHNNGDFVQGA>>DJTCBAFIXOMULT","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>>CCN(CCCC(=O)O)C(C)CC1=CC=C(C=C1)O","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>[Phase I]>CCN(CCCC(=O)O)C(C)CC1=CC=C(C=C1)O CID: 4031 to CID: 45038887","429.25152322","265.1677936","-164.08372962","-5"
"Mebeverine",4031,"Phase I","Veratric acid","7121","10.1021/acs.est.4c00968","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Meyer C, Stravs MA, Hollender J (2024) Environ. Sci. Technol. 58:22, 9828-9838","Compendium, https://compendium.ch/","S113 | SWISSPHARMA24 | 2024 Swiss Pharmaceutical List with Metabolites","","10.5281/zenodo.10501043","","4031>>7121","VYVKHNNGDFVQGA-UHFFFAOYSA-N>>DAUAQNGYDSHRET-UHFFFAOYSA-N","VYVKHNNGDFVQGA>>DAUAQNGYDSHRET","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>>COC1=C(C=C(C=C1)C(=O)O)OC","CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC>[Phase I]>COC1=C(C=C(C=C1)C(=O)O)OC CID: 4031 to CID: 7121","429.25152322","182.0579088","-247.19361442","-3.6"
"Meclozine",4034,"Cleavage","4-Chlorobenzophenone","8653","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","4034>>8653","OCJYIGYOJCODJL-UHFFFAOYSA-N>>UGVRJVHOJNYEHR-UHFFFAOYSA-N","OCJYIGYOJCODJL>>UGVRJVHOJNYEHR","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl>>C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl>[Cleavage]>C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl CID: 4034 to CID: 8653","390.1862766","216.0341926","-174.152084","-1.7"
"Meclozine",4034,"Tertiary amine cleavage","1-[(4-Chlorophenyl)phenylmethyl]piperazine","9340","10.1007/s13361-017-1797-6","Schollee et al, Similarity of High-Resolution Tandem Mass Spectrometry Spectra of Structurally Related Micropollutants and Transformation Products, J. Am. Soc. Mass Spectrom. 2017, 28, 12, 2692-2704.","Eawag","Eawag: Swiss Federal Institute for Aquatic Science and Technology (https://www.eawag.ch/en/)","S66 | EAWAGTPS | Parent-Transformation Product Pairs from Eawag | Parent-Transformation Product Pairs from Schollee et al 2017, Eawag.","","10.5281/zenodo.3754449","","4034>>9340","OCJYIGYOJCODJL-UHFFFAOYSA-N>>UZKBSZSTDQSMDR-UHFFFAOYSA-N","OCJYIGYOJCODJL>>UZKBSZSTDQSMDR","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl>>C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl","CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl>[Tertiary amine cleavage]>C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl CID: 4034 to CID: 9340","390.1862766","286.1236763","-104.0626003","-2.4"
"mecoprop",7153,"Environmental","2-methyl-4-chlorophenol","14855","10.1021/acs.est.1c00466","Menger, F. et al (2021); Identification of pesticide transformation products in surface water using suspect screening combined with national monitoring data, Environmental Science and Technology. DOI: 10.1021/acs.est.1c00466","10.5281/zenodo.4687924","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","S78 | SLUPESTTPS | Pesticides and TPs from SLU, Sweden","","10.5281/zenodo.4687924","soil","7153>>14855","WNTGYJSOUMFZEP-UHFFFAOYSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WNTGYJSOUMFZEP>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>[Environmental]>CC1=C(C=CC(=C1)Cl)O CID: 7153 to CID: 14855","214.0396719","142.0185425","-72.0211294","-0.3"
"Mecoprop",7153,"Metabolism","4-Chloro-2-methylphenol","14855","10.5281/zenodo.3827487","Hartley, D. and H. Kidd (eds.). The Agrochemicals Handbook. Old Woking, Surrey, United Kingdom: Royal Society of Chemistry/Unwin Brothers Ltd., 1983., p. A255/oct 83","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","plants","7153>>14855","WNTGYJSOUMFZEP-UHFFFAOYSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WNTGYJSOUMFZEP>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>[Metabolism]>CC1=C(C=CC(=C1)Cl)O CID: 7153 to CID: 14855","214.0396719","142.0185425","-72.0211294","-0.3"
"Mecoprop",7153,"Plant metabolism","4-Chloro-2-methylphenol","14855","10.5281/zenodo.3827487","Hartley, D. and H. Kidd (eds.). The Agrochemicals Handbook. Old Woking, Surrey, United Kingdom: Royal Society of Chemistry/Unwin Brothers Ltd., 1983., p. A255/oct 83","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Plant","7153>>14855","WNTGYJSOUMFZEP-UHFFFAOYSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WNTGYJSOUMFZEP>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>[Plant metabolism]>CC1=C(C=CC(=C1)Cl)O CID: 7153 to CID: 14855","214.0396719","142.0185425","-72.0211294","-0.3"
"Mecoprop",7153,"Plant metabolism","Mecoprop-P","185588","10.5281/zenodo.3827487","Hartley, D. and H. Kidd (eds.). The Agrochemicals Handbook. Old Woking, Surrey, United Kingdom: Royal Society of Chemistry/Unwin Brothers Ltd., 1983., p. A255/oct 83","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","","10.5281/zenodo.3827487","Plant","7153>>185588","WNTGYJSOUMFZEP-UHFFFAOYSA-N>>WNTGYJSOUMFZEP-SSDOTTSWSA-N","WNTGYJSOUMFZEP>>WNTGYJSOUMFZEP","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>>CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O","CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O>[Plant metabolism]>CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O CID: 7153 to CID: 185588","214.0396719","214.0396719","0","0"
"Mecoprop-P",185588,"Environmental Transformation","2-methyl-4-chlorophenol","14855","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_876","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","185588>>14855","WNTGYJSOUMFZEP-SSDOTTSWSA-N>>RHPUJHQBPORFGV-UHFFFAOYSA-N","WNTGYJSOUMFZEP>>RHPUJHQBPORFGV","CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O>>CC1=C(C=CC(=C1)Cl)O","CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O>[Environmental Transformation]>CC1=C(C=CC(=C1)Cl)O CID: 185588 to CID: 14855","214.0396719","142.0185425","-72.0211294","-0.3"
"Medroxyprogesterone Acetate",6279,"Aliphatic Hydroxylation / Human Phase I","M-2","71749110","10.1186/s13321-018-0324-5","PMID:18725509","MetXBioDB | SourceID: BIOTID01502","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4;","10.5281/zenodo.4056560","Human","6279>>71749110","PSGAAPLEWMOORI-PEINSRQWSA-N>>BIIFPBLHBAQCTJ-MCLNPTNPSA-N","PSGAAPLEWMOORI>>BIIFPBLHBAQCTJ","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>>CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@](C4=CC(=O)CC[C@]34C)(C)O)C)OC(=O)C","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>[Aliphatic Hydroxylation / Human Phase I]>CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@](C4=CC(=O)CC[C@]34C)(C)O)C)OC(=O)C CID: 6279 to CID: 71749110","386.24570956","402.24062418","15.99491462","-1.5"
"Medroxyprogesterone Acetate",6279,"Aliphatic Hydroxylation / Human Phase I","M-3","131699380","10.1186/s13321-018-0324-5","PMID:18725509","MetXBioDB | SourceID: BIOTID01503","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4;","10.5281/zenodo.4056560","Human","6279>>131699380","PSGAAPLEWMOORI-PEINSRQWSA-N>>RXMRJLACDJCPSK-CXLZCUPKSA-N","PSGAAPLEWMOORI>>RXMRJLACDJCPSK","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>>C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)CC4O)C)C)(C(=O)C)OC(=O)C","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>[Aliphatic Hydroxylation / Human Phase I]>C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)CC4O)C)C)(C(=O)C)OC(=O)C CID: 6279 to CID: 131699380","386.24570956","402.24062418","15.99491462","-1.3"
"Medroxyprogesterone Acetate",6279,"Aliphatic Hydroxylation / Human Phase I","Medroxyprogesterone Acetate","154699547","10.1186/s13321-018-0324-5","PMID:18725509","MetXBioDB | SourceID: BIOTID01501","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4;","10.5281/zenodo.4056560","Human","6279>>154699547","PSGAAPLEWMOORI-PEINSRQWSA-N>>DEGIWINEDRZHEE-IRACIFBNSA-N","PSGAAPLEWMOORI>>DEGIWINEDRZHEE","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>>C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)C(C4)O)C)C)(C(=O)C)OC(=O)C","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C>[Aliphatic Hydroxylation / Human Phase I]>C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)C(C4)O)C)C)(C(=O)C)OC(=O)C CID: 6279 to CID: 154699547","386.24570956","402.24062418","15.99491462","-0.899999999999999"
"Medroxyprogesterone Acetate",154699547,"Aliphatic Hydroxylation / Human Phase I","M-1","154699862","10.1186/s13321-018-0324-5","PMID:18725509","MetXBioDB | SourceID: BIOTID01504","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4;","10.5281/zenodo.4056560","Human","154699547>>154699862","DEGIWINEDRZHEE-IRACIFBNSA-N>>ORFMCUSRHZJDBM-DPSXXVMFSA-N","DEGIWINEDRZHEE>>ORFMCUSRHZJDBM","C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)C(C4)O)C)C)(C(=O)C)OC(=O)C>>CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@](C4=CC(=O)C(C[C@]34C)O)(C)O)C)OC(=O)C","C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(CC[C@@H]2[C@@]4(C1=CC(=O)C(C4)O)C)C)(C(=O)C)OC(=O)C>[Aliphatic Hydroxylation / Human Phase I]>CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@](C4=CC(=O)C(C[C@]34C)O)(C)O)C)OC(=O)C CID: 154699547 to CID: 154699862","402.24062418","418.2355388","15.99491462","-1.4"
