"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem","CID_to_CID","IK_to_IK","IKFB_to_IKFB","ReactionSMILES","DescReactionSMILES","predecessorEM","successorEM","MassDiff","XlogPDiff"
"Mandipropamid",11292824,"Environmental Transformation","SYN 536638","139596233","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","Eawag-Soil","www.envipath.org/package; Latino, D.A., Wicker, J., Gutlein, M., Schmid, E., Kramer, S. and Fenner, K., 2017. Eawag-Soil in enviPath: a new resource for exploring regulatory pesticide soil biodegradation pathways and half-life data. Environmental Science Processes and Impacts 19, 449-464.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","11292824>>139596233","KWLVWJPJKJMCSH-UHFFFAOYSA-N>>NIKVRAQEPYQAAH-UHFFFAOYSA-N","KWLVWJPJKJMCSH>>NIKVRAQEPYQAAH","COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C>>COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC=C","COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C>[Environmental Transformation]>COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC=C CID: 11292824 to CID: 139596233","411.1237359","413.1393859","2.01564999999999","0.5"
"Mandipropamid",11292824,"Environmental Transformation","SYN521195","139596768","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","Eawag-Soil","www.envipath.org/package; Latino, D.A., Wicker, J., Gutlein, M., Schmid, E., Kramer, S. and Fenner, K., 2017. Eawag-Soil in enviPath: a new resource for exploring regulatory pesticide soil biodegradation pathways and half-life data. Environmental Science Processes and Impacts 19, 449-464.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","11292824>>139596768","KWLVWJPJKJMCSH-UHFFFAOYSA-N>>QIUKZMWEKZCWNT-UHFFFAOYSA-N","KWLVWJPJKJMCSH>>QIUKZMWEKZCWNT","COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C>>C=CCOC1=C(C=C(C=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)O","COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C>[Environmental Transformation]>C=CCOC1=C(C=C(C=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)O CID: 11292824 to CID: 139596768","411.1237359","399.1237359","-12","0.2"
"Maneb",3000605,"Environmental Transformation","ethylene bisisothiocyanate sulphide","36603","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_875","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","3000605>>36603","AWYFNIZYMPNGAI-UHFFFAOYSA-N>>BFTGQIQVUVTBJU-UHFFFAOYSA-N","AWYFNIZYMPNGAI>>BFTGQIQVUVTBJU","C(CNC(=S)S)NC(=S)S>>C1CN2C(=N1)SSC2=S","C(CNC(=S)S)NC(=S)S>[Environmental Transformation]>C1CN2C(=N1)SSC2=S CID: 3000605 to CID: 36603","211.95703296","175.95366166","-36.0033713","-0.4"
"Maneb",3000605,"Environmental Transformation","ethylenethiourea","2723650","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_873","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","3000605>>2723650","AWYFNIZYMPNGAI-UHFFFAOYSA-N>>PDQAZBWRQCGBEV-UHFFFAOYSA-N","AWYFNIZYMPNGAI>>PDQAZBWRQCGBEV","C(CNC(=S)S)NC(=S)S>>C1CNC(=S)N1","C(CNC(=S)S)NC(=S)S>[Environmental Transformation]>C1CNC(=S)N1 CID: 3000605 to CID: 2723650","211.95703296","102.02516937","-109.93186359","-1.9"
"Maneb",3000605,"Environmental Transformation","ethyleneurea","8453","10.1016/j.watres.2019.114972","New relevant pesticide transformation products in groundwater detected using target and suspect screening for agricultural and urban micropollutants with LC-HRMS, Water Research, Volume 165, 2019, 114972.","PPDB_ID_874","Pesticides Properties DataBase; Lewis, K.A., Tzilivakis, J., Warner, D.J. and Green, A., 2016. An international database for pesticide risk assessments and management. Human and Ecological Risk Assessment: An International Journal 22(4), 1050-1064.","S60 | SWISSPEST19 | Swiss Pesticides and Metabolites from Kiefer et al 2019 | Swiss Pesticides and Metabolites from Kiefer et al 2019.","","10.5281/zenodo.3544760","","3000605>>8453","AWYFNIZYMPNGAI-UHFFFAOYSA-N>>YAMHXTCMCPHKLN-UHFFFAOYSA-N","AWYFNIZYMPNGAI>>YAMHXTCMCPHKLN","C(CNC(=S)S)NC(=S)S>>C1CNC(=O)N1","C(CNC(=S)S)NC(=S)S>[Environmental Transformation]>C1CNC(=O)N1 CID: 3000605 to CID: 8453","211.95703296","86.048012819","-125.909020141","-2.5"
"MANGIFERIN",5281647,"","norathyriol","5281656","10.1124/dmd.112.045849","22859782","ChEMBL IDs (pred,succ,enzyme): CHEMBL464825|CHEMBL187265|","metid:1993; protacxns:; geneids:","ChEMBL","",NA,NA,"5281647>>5281656","AEDDIBAIWPIIBD-ZJKJAXBQSA-N>>ZHTQCPCDXKMMLU-UHFFFAOYSA-N","AEDDIBAIWPIIBD>>ZHTQCPCDXKMMLU","C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O>>C1=C(C=C2C(=C1O)C(=O)C3=CC(=C(C=C3O2)O)O)O","C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O>[]>C1=C(C=C2C(=C1O)C(=O)C3=CC(=C(C=C3O2)O)O)O CID: 5281647 to CID: 5281656","422.08491139","260.03208797","-162.05282342","2.5"
"Mannitol",6251,"Metabolism","D-Fructose","2723872","10.5281/zenodo.3827487","Bergmeyer, H.W. (ed.). Methods of Enzymatic Analysis. 2nd English ed. New York City: Academic Press, 1974., p. 1271","HSDB","HSDB is a toxicology database that focuses on the toxicology of potentially hazardous chemicals. See https://pubchem.ncbi.nlm.nih.gov/source/11933","S68 | HSDBTPS | Transformation Products Extracted from HSDB Content in PubChem, validated by LCSB-ECI","D-Mannitol dehydrogenase","10.5281/zenodo.3827487","Aspergillus oryzae","6251>>2723872","FBPFZTCFMRRESA-KVTDHHQDSA-N>>LKDRXBCSQODPBY-VRPWFDPXSA-N","FBPFZTCFMRRESA>>LKDRXBCSQODPBY","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O>>C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O","C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O>[Metabolism]>C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O CID: 6251 to CID: 2723872","182.07903816","180.0633881","-2.01565006000001","0.3"
"maprotiline",4011,"Aromatic hydroxylation of fused benzene ring / Human Phase I","2-hydroxy-maprotiline","58600339","10.1186/s13321-018-0324-5","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423|PMID:12071336","MetXBioDB | SourceID: BIOTID00691","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP1A2","10.5281/zenodo.4056560","Human","4011>>58600339","QSLMDECMDJKHMQ-UHFFFAOYSA-N>>RGTALAKWLKCOBO-UHFFFAOYSA-N","QSLMDECMDJKHMQ>>RGTALAKWLKCOBO","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>>CNCCCC12CCC(C3=CC=CC=C31)C4=C2C=CC(=C4)O","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>[Aromatic hydroxylation of fused benzene ring / Human Phase I]>CNCCCC12CCC(C3=CC=CC=C31)C4=C2C=CC(=C4)O CID: 4011 to CID: 58600339","277.183049738","293.177964357","15.994914619","-0.399999999999999"
"maprotiline",4011,"Aromatic hydroxylation of fused benzene ring / Human Phase I","3-hydroxy-maprotiline","86125615","10.1186/s13321-018-0324-5","Wang, B. and Zhou, S.F. (2009); Synthetic and Natural Compounds that Interact with Human Cytochrome P450 1A2 and Implications in Drug Development; Current Medicinal Chemistry; Vol. 16, No. 31; PMID:19754423|PMID:12071336","MetXBioDB | SourceID: BIOTID00690","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP1A2","10.5281/zenodo.4056560","Human","4011>>86125615","QSLMDECMDJKHMQ-UHFFFAOYSA-N>>XEIQDMGVTYYHBG-UHFFFAOYSA-N","QSLMDECMDJKHMQ>>XEIQDMGVTYYHBG","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>>CNCCCC12CCC(C3=C1C=C(C=C3)O)C4=CC=CC=C24","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>[Aromatic hydroxylation of fused benzene ring / Human Phase I]>CNCCCC12CCC(C3=C1C=C(C=C3)O)C4=CC=CC=C24 CID: 4011 to CID: 86125615","277.183049738","293.177964357","15.994914619","-0.399999999999999"
"maprotiline",4011,"N-dealkylation of acyclic secondary amine / Human Phase I","desmethylmaprotiline","119409","10.1186/s13321-018-0324-5","Regioselective Metabolism of Toluene and o-, m- and p-Xylene1|PMID:12071336","MetXBioDB | SourceID: BIOTID00689","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2D6; CYP1A2","10.5281/zenodo.4056560","Human","4011>>119409","QSLMDECMDJKHMQ-UHFFFAOYSA-N>>IFHUOEQJTQWFGJ-UHFFFAOYSA-N","QSLMDECMDJKHMQ>>IFHUOEQJTQWFGJ","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>>C1CC2(C3=CC=CC=C3C1C4=CC=CC=C42)CCCN","CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24>[N-dealkylation of acyclic secondary amine / Human Phase I]>C1CC2(C3=CC=CC=C3C1C4=CC=CC=C42)CCCN CID: 4011 to CID: 119409","277.183049738","263.167399674","-14.015650064","-0.5"
"MaxiPost",9885204,"O-glucuronidation / Human Phase II","(2S,3S,4S,5R)-6-[3-(5-chloro-2-methoxyphenyl)-3-fluoro-2-oxo-6-(trifluoromethyl)indol-1-yl]-3,4,5-trihydroxyoxane-2-carboxylic acid","154699763","10.1186/s13321-018-0324-5","Kaivosaari, S. et al. (2011); N-glucuronidation of drugs and other xenobiotics by human and animal UDP-glucuronosyltransferases.; Xenobiotica. 2011 Aug; 41(8):652-69. DOI:10.3109/00498254.2011.563327","MetXBioDB | SourceID: BIOTID01938","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","UGT2B7","10.5281/zenodo.4056560","Human","9885204>>154699763","ULYONBAOIMCNEH-UHFFFAOYSA-N>>LHGCJCWQABXCEH-DFPMCGAKSA-N","ULYONBAOIMCNEH>>LHGCJCWQABXCEH","COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F>>COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)N(C2=O)C4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)F","COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)NC2=O)F>[O-glucuronidation / Human Phase II]>COC1=C(C=C(C=C1)Cl)C2(C3=C(C=C(C=C3)C(F)(F)F)N(C2=O)C4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)F CID: 9885204 to CID: 154699763","359.0336189","535.0657069","176.032088","-1.7"
