"predecessor","predecessorcid","transformation","successor","successorcid","evidencedoi","evidenceref","sourcecomment","sourcecommentfull","datasetref","enzyme","datasetdoi","biosystem"
"((S)-1-{(1S,2S)-1-Benzyl-2-hydroxy-3-[N'-((S)-2-methoxycarbonylamino-3,3-dimethyl-butyryl)-N-(4-pyridin-2-yl-benzyl)-hydrazino]-propylcarbamoyl}-3-hydroxy-2,2-dimethyl-propyl)-carbamic acid methyl ester",71474000,"NULL","{(S)-3-Hydroxy-1-[N'-[(2S,3S)-2-hydroxy-3-((S)-4-hydroxy-2-methoxycarbonylamino-3,3-dimethyl-butyrylamino)-4-phenyl-butyl]-N'-(4-pyridin-2-yl-benzyl)-hydrazinocarbonyl]-2,2-dimethyl-propyl}-carbamic acid methyl ester","118753114","10.1124/dmd.110.036327","21148252","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526718|CHEMBL3526719|NULL","metid:423; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"((S)-1-{N'-[(2S,3S)-2-Hydroxy-3-((S)-2-methoxycarbonylamino-3,3-dimethyl-butyrylamino)-4-phenyl-butyl]-hydrazinocarbonyl}-2,2-dimethyl-propyl)-carbamic acid methyl ester",91799105,"NULL","methyl(S)-1-((2S,3S)-4-hydrazinyl-3-hydroxy-1-phenylbutan-2-ylamino)-3,3-dimethyl-1-oxobutan-2-ylcarbamate","118753185","10.1124/dmd.110.036327","21148252","ChEMBL IDs (pred,succ,enzyme): CHEMBL3526717|CHEMBL3526896|NULL","metid:405; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"((S,-N-[2-[3,5-bis(trifluoromethyl)phenyl]ethyl]-4-(cyclopropylmethyl)-N-methyl-alpha-phenyl-1-piperazineacetamide monohydrochloride monohydrate)]",118753394,"NULL","(2S)-N-(2-(3,5-bis(trifluoromethyl)phenyl)-2-hydroxyethyl)-2-(4-(cyclopropylmethyl)piperazin-1-yl)-N-methyl-2-phenylacetamide","118753509","10.1124/dmd.111.043562","22184457","ChEMBL IDs (pred,succ,enzyme): CHEMBL3542235|CHEMBL3542413|NULL","metid:2404; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"((S,-N-[2-[3,5-bis(trifluoromethyl)phenyl]ethyl]-4-(cyclopropylmethyl)-N-methyl-alpha-phenyl-1-piperazineacetamide monohydrochloride monohydrate)]",118753394,"NULL","(S)-2-(2-aminoethylamino)-N-(3,5-bis(trifluoromethyl)phenethyl)-N-methyl-2-phenylacetamide","118753395","10.1124/dmd.111.043562","22184457","ChEMBL IDs (pred,succ,enzyme): CHEMBL3542235|CHEMBL3542236|NULL","metid:2410; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"((S,-N-[2-[3,5-bis(trifluoromethyl)phenyl]ethyl]-4-(cyclopropylmethyl)-N-methyl-alpha-phenyl-1-piperazineacetamide monohydrochloride monohydrate)]",118753394,"NULL","(S)-N-(3,5-bis(trifluoromethyl)phenethyl)-N-methyl-2-phenyl-2-(piperazin-1-yl)acetamide","9936114","10.1124/dmd.111.043562","22184457","ChEMBL IDs (pred,succ,enzyme): CHEMBL3542235|CHEMBL3542412|NULL","metid:2409; protacxns:NULL; geneids:NULL","ChEMBL","NULL",NA,NA
"(+-)-Cisapride",2769,"2-Hydroxylation of 1,4-disubstituted benzene / Human Phase I","4-Fluoro-2-hydroxycisapride","101146906","10.1186/s13321-018-0324-5","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985","MetXBioDB | SourceID: BIOTID00417","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4","10.5281/zenodo.4056560","Human"
"(+-)-Cisapride",2769,"Hydroxylation of aromatic carbon / Human Phase I","3-Fluoro-4-hydroxycisapride","101146908","10.1186/s13321-018-0324-5","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985","MetXBioDB | SourceID: BIOTID00416","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2C8","10.5281/zenodo.4056560","Human"
"(+-)-Cisapride",2769,"N-dealkylation of mixed tertiary amine / Human Phase I","Norcisapride","3019427","10.1186/s13321-018-0324-5","Brown, C.M. et al. (2008); Cytochromes P450: A Structure-Based Summary of Biotransformations Using Representative Substrates; Drug Metabolism Reviews, 40:1, 1-100, DOI:10.1080/03602530701836662; PMID:18259985","MetXBioDB | SourceID: BIOTID00415","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP3A4; CYP2C8; CYP2B6","10.5281/zenodo.4056560","Human"
"(+)-3-carene",443156,"Epoxitation of 1,1,2-trisubstituted alkene / Human Phase I","Carene epoxide","59057784","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID00046","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP1A2","10.5281/zenodo.4056560","Human"
"(+)-3-carene",443156,"Hydroxlation of methyl carbon adjacent to an aliphatic ring / Human Phase I","3-Caren-10-ol","129775894","10.1186/s13321-018-0324-5","Jaeger, W. and Haeferl, M.; Metabolism of Terpenoids in Animal Models and Humans (Chapter 9) in Handbook of Essential Oils - Science, Technology, and Applications, Second Edition; Edited by K. Husnu Can Baser and Gerhard Buchbauer; CRC Press 2015; pp. 253-279.","MetXBioDB | SourceID: BIOTID00045","MetXBioDB is a biotransformation database used to improve the knowledge- and machine learning-based systems in BioTransformer (http://biotransformer.ca/)","S73 | METXBIODB | Metabolite Reaction Database from BioTransformer","CYP2B6; CYP2C19; CYP2D6","10.5281/zenodo.4056560","Human"
